[array(283625.28125, dtype=float32), array(2.0063376426696777, dtype=float32), array(283609.09375, dtype=float32), array(14.195155143737793, dtype=float32)]
[array(37467.97265625, dtype=float32), array(1.8061178922653198, dtype=float32), array(37111.3359375, dtype=float32), array(354.83062744140625, dtype=float32)]
[array(73385.109375, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73028.421875, dtype=float32), array(354.8802185058594, dtype=float32)]
[array(37465.7265625, dtype=float32), array(1.8061246871948242, dtype=float32), array(37109.09375, dtype=float32), array(354.82861328125, dtype=float32)]
[array(73387.1796875, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73030.5, dtype=float32), array(354.8782653808594, dtype=float32)]
[array(37463.62109375, dtype=float32), array(1.8061307668685913, dtype=float32), array(37106.98828125, dtype=float32), array(354.8266296386719, dtype=float32)]
[array(73389.15625, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73032.4765625, dtype=float32), array(354.8762512207031, dtype=float32)]
[array(37461.62890625, dtype=float32), array(1.806136131286621, dtype=float32), array(37105.0, dtype=float32), array(354.8246765136719, dtype=float32)]
[array(73391.0078125, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73034.328125, dtype=float32), array(354.874267578125, dtype=float32)]
[array(37459.75390625, dtype=float32), array(1.8061408996582031, dtype=float32), array(37103.125, dtype=float32), array(354.8226318359375, dtype=float32)]
[array(73392.7734375, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73036.09375, dtype=float32), array(354.8722839355469, dtype=float32)]
[array(37457.9765625, dtype=float32), array(1.8061455488204956, dtype=float32), array(37101.3515625, dtype=float32), array(354.8206481933594, dtype=float32)]
[array(73394.4296875, dtype=float32), array(1.8062325716018677, dtype=float32), array(-73037.7578125, dtype=float32), array(354.87030029296875, dtype=float32)]
[array(37456.2890625, dtype=float32), array(1.8061496019363403, dtype=float32), array(37099.6640625, dtype=float32), array(354.81866455078125, dtype=float32)]
[array(73396.015625, dtype=float32), array(1.8062325716018677, dtype=float32), array(-73039.34375, dtype=float32), array(354.8682861328125, dtype=float32)]
[array(37454.68359375, dtype=float32), array(1.8061532974243164, dtype=float32), array(37098.0625, dtype=float32), array(354.816650390625, dtype=float32)]
[array(73397.5234375, dtype=float32), array(1.8062325716018677, dtype=float32), array(-73040.8515625, dtype=float32), array(354.8663024902344, dtype=float32)]
[array(37453.16796875, dtype=float32), array(1.8061567544937134, dtype=float32), array(37096.546875, dtype=float32), array(354.81463623046875, dtype=float32)]
[array(73398.96875, dtype=float32), array(1.8062325716018677, dtype=float32), array(-73042.296875, dtype=float32), array(354.8642883300781, dtype=float32)]
[array(37451.7109375, dtype=float32), array(1.8061598539352417, dtype=float32), array(37095.09375, dtype=float32), array(354.8126525878906, dtype=float32)]
[array(73400.3359375, dtype=float32), array(1.8062325716018677, dtype=float32), array(-73043.671875, dtype=float32), array(354.8622741699219, dtype=float32)]
[array(37450.328125, dtype=float32), array(1.8061628341674805, dtype=float32), array(37093.7109375, dtype=float32), array(354.8106384277344, dtype=float32)]
[array(73401.6640625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73045.0, dtype=float32), array(354.86029052734375, dtype=float32)]
[array(37448.98828125, dtype=float32), array(1.806165337562561, dtype=float32), array(37092.375, dtype=float32), array(354.80865478515625, dtype=float32)]
[array(73402.9296875, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73046.265625, dtype=float32), array(354.8583068847656, dtype=float32)]
[array(37447.7109375, dtype=float32), array(1.8061679601669312, dtype=float32), array(37091.1015625, dtype=float32), array(354.8066101074219, dtype=float32)]
[array(73404.140625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73047.4765625, dtype=float32), array(354.8562927246094, dtype=float32)]
[array(37446.49609375, dtype=float32), array(1.8061703443527222, dtype=float32), array(37089.88671875, dtype=float32), array(354.80462646484375, dtype=float32)]
[array(73405.296875, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73048.640625, dtype=float32), array(354.85430908203125, dtype=float32)]
[array(37445.32421875, dtype=float32), array(1.806172251701355, dtype=float32), array(37088.71875, dtype=float32), array(354.8026428222656, dtype=float32)]
[array(73406.4140625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73049.7578125, dtype=float32), array(354.852294921875, dtype=float32)]
[array(37444.19921875, dtype=float32), array(1.806174397468567, dtype=float32), array(37087.59375, dtype=float32), array(354.8006286621094, dtype=float32)]
[array(73407.4921875, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73050.8359375, dtype=float32), array(354.85028076171875, dtype=float32)]
[array(37443.109375, dtype=float32), array(1.8061763048171997, dtype=float32), array(37086.5078125, dtype=float32), array(354.7986145019531, dtype=float32)]
[array(73408.53125, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73051.875, dtype=float32), array(354.8482971191406, dtype=float32)]
[array(37442.0546875, dtype=float32), array(1.806178092956543, dtype=float32), array(37085.453125, dtype=float32), array(354.7966003417969, dtype=float32)]
[array(73409.53125, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73052.8828125, dtype=float32), array(354.8462829589844, dtype=float32)]
[array(37441.046875, dtype=float32), array(1.8061796426773071, dtype=float32), array(37084.44921875, dtype=float32), array(354.79461669921875, dtype=float32)]
[array(73410.5078125, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73053.859375, dtype=float32), array(354.84429931640625, dtype=float32)]
[array(37440.06640625, dtype=float32), array(1.8061813116073608, dtype=float32), array(37083.46875, dtype=float32), array(354.7925720214844, dtype=float32)]
[array(73411.4453125, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73054.796875, dtype=float32), array(354.84228515625, dtype=float32)]
[array(37439.1171875, dtype=float32), array(1.8061827421188354, dtype=float32), array(37082.5234375, dtype=float32), array(354.7906188964844, dtype=float32)]
[array(73412.3515625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73055.703125, dtype=float32), array(354.8403015136719, dtype=float32)]
[array(37438.203125, dtype=float32), array(1.8061842918395996, dtype=float32), array(37081.609375, dtype=float32), array(354.7886047363281, dtype=float32)]
[array(73413.2265625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73056.5859375, dtype=float32), array(354.83831787109375, dtype=float32)]
[array(37437.31640625, dtype=float32), array(1.8061856031417847, dtype=float32), array(37080.7265625, dtype=float32), array(354.7865905761719, dtype=float32)]
[array(73414.0859375, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73057.4453125, dtype=float32), array(354.8362731933594, dtype=float32)]
[array(37436.453125, dtype=float32), array(1.8061866760253906, dtype=float32), array(37079.86328125, dtype=float32), array(354.78460693359375, dtype=float32)]
[array(73414.90625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73058.265625, dtype=float32), array(354.83428955078125, dtype=float32)]
[array(37435.62109375, dtype=float32), array(1.8061879873275757, dtype=float32), array(37079.03515625, dtype=float32), array(354.7825622558594, dtype=float32)]
[array(73415.71875, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73059.078125, dtype=float32), array(354.832275390625, dtype=float32)]
[array(37434.80859375, dtype=float32), array(1.8061890602111816, dtype=float32), array(37078.22265625, dtype=float32), array(354.78057861328125, dtype=float32)]
[array(73416.484375, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73059.8515625, dtype=float32), array(354.83026123046875, dtype=float32)]
[array(37434.01953125, dtype=float32), array(1.8061901330947876, dtype=float32), array(37077.4375, dtype=float32), array(354.7785339355469, dtype=float32)]
[array(73417.25, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73060.6171875, dtype=float32), array(354.8282470703125, dtype=float32)]
[array(37433.2578125, dtype=float32), array(1.806191086769104, dtype=float32), array(37076.67578125, dtype=float32), array(354.77655029296875, dtype=float32)]
[array(73417.984375, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73061.3515625, dtype=float32), array(354.8262634277344, dtype=float32)]
[array(37432.51171875, dtype=float32), array(1.8061920404434204, dtype=float32), array(37075.93359375, dtype=float32), array(354.7745361328125, dtype=float32)]
[array(73418.7109375, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73062.078125, dtype=float32), array(354.82427978515625, dtype=float32)]
[array(37431.79296875, dtype=float32), array(1.8061929941177368, dtype=float32), array(37075.21484375, dtype=float32), array(354.7725524902344, dtype=float32)]
[array(73419.40625, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73062.78125, dtype=float32), array(354.822265625, dtype=float32)]
[array(37431.0859375, dtype=float32), array(1.8061939477920532, dtype=float32), array(37074.51171875, dtype=float32), array(354.7705383300781, dtype=float32)]
[array(73420.078125, dtype=float32), array(1.8062328100204468, dtype=float32), array(-73063.453125, dtype=float32), array(354.8202819824219, dtype=float32)]
Init error:  2.00633764267
Final error:  1.80623281002
Elapsed time for pretraining:  9.90209317207
Elapsed time for training:  136.869584084
Weights:  9749.13024902
